TF	Target	Regulatory Mode
vfr	plcH	?
vfr	plcN	?
vfr	plcR	?
phoQ	pmrA	-
pmrA	pmrA	+
pmrA	pmrB	+
PA4916	pncB1	-
ampR	poxB	-
pprB	pprA	?
lasI	pprB	?
PA2591	pprB	-
pprB	pprB	?
vqsM	pprB	+
fhpR	ppyR	+
agmR	pqqA	+
agmR	pqqB	+
agmR	pqqC	+
agmR	pqqD	+
agmR	pqqE	+
agmR	pqqH	+
lasR	pqsA	+
mexT	pqsA	-
mvfR	pqsA	+
bqsR/PA2657	pqsA	+
bqsS/PA2656	pqsA	+
ptxR	pqsA	-
rhlR	pqsA	-
lasR	pqsB	+
mexT	pqsB	-
mvfR	pqsB	+
ptxR	pqsB	-
rhlR	pqsB	-
lasR	pqsC	+
mexT	pqsC	-
mvfR	pqsC	+
ptxR	pqsC	-
rhlR	pqsC	-
lasR	pqsD	+
mexT	pqsD	-
mvfR	pqsD	+
ptxR	pqsD	-
rhlR	pqsD	-
lasR	pqsE	+
mexT	pqsE	-
mvfR	pqsE	+
rhlR	pqsE	-
lasR	pqsH	+
anr	prfA	d
narL	prfA	d
rpoN	proC	+
PA0797	prpB	-
PA0797	prpC	-
PA0797	prpD	-
exsA	pscB	+
exsA	pscC	+
exsA	pscD	+
exsA	pscE	+
mexT	pscE	-
exsA	pscF	+
exsA	pscG	+
exsA	pscH	+
exsA	pscI	+
exsA	pscJ	+
exsA	pscL	+
fleQ	pslA	?
lasR	pslA	+
fleQ	pslB	?
lasR	pslB	+
fleQ	pslC	?
lasR	pslC	+
fleQ	pslD	?
lasR	pslD	+
fleQ	pslE	?
lasR	pslE	+
fleQ	pslF	?
lasR	pslF	+
fleQ	pslG	?
lasR	pslG	+
fleQ	pslH	?
lasR	pslH	+
fleQ	pslI	?
lasR	pslI	+
fleQ	pslJ	?
lasR	pslJ	+
fleQ	pslK	?
lasR	pslK	+
fleQ	pslL	?
lasR	pslL	+
psrA	psrA	-
copR	ptrA	?
lasI	ptxR	?
ptxS	ptxR	-
pvdS	ptxR	+
rpoD	ptxR	+
vfr	ptxR	+
gbuR	ptxS	+
mvaT	ptxS	+
ptxR	ptxS	+
ptxS	ptxS	-
ptxR	pvcA	+
pvdS	pvcA	+
ptxR	pvcB	+
pvdS	pvcB	+
ptxR	pvcC	+
pvdS	pvcC	+
ptxR	pvcD	+
pvdS	pvcD	+
mexT	pvdA	+
pvdS	pvdA	+
pvdS	pvdF	+
pvdS	pvdG	+
metR	pvdH	+
pvdS	pvdH	+
metR	pvdL	+
pvdS	pvdL	+
fur	pvdQ	+
pvdS	PA2389	+
fpvR	pvdS	-
fur	pvdS	-
lasR	pvdS	+
pvdS	pvdS	?
np20	pyrQ	-
pvdS	pys2	?
lasI	qscR	?
lasR	qteE	?
RbsR	rbsA	-
RbsR	rbsB	-
RbsR	rbsC	-
RbsR	rbsK	-
RbsR	rbsR	-
pprB	rcpA	?
pprB	rcpC	?
lexA	recA	-
recA	recA	?
lexA	recN	-
algR	rhlA	-
lasI	rhlA	?
lasR	rhlA	?
mexT	rhlA	-
bqsR/PA2657	rhlA	+
bqsS/PA2656	rhlA	+
rhlR	rhlA	+
rpoN	rhlA	?
algR	rhlB	-
lasI	rhlB	?
lasR	rhlB	?
bqsR/PA2657	rhlB	+
bqsS/PA2656	rhlB	+
rhlR	rhlB	-
rpoN	rhlB	?
lasR	rhlG	+
rhlR	rhlG	?
algR	rhlI	-
lasI	rhlI	?
lasR	rhlI	+
mexT	rhlI	+
mvfR	rhlI	+
ptxR	rhlI	-
qscR	rhlI	?
rhlR	rhlI	+
rpoN	rhlI	-
rpoS	rhlI	-
algQ	rhlR	-
ampR	rhlR	+
lasI	rhlR	?
lasR	rhlR	+
rhlR	rhlR	-
rpoN	rhlR	+
vfr	rhlR	d
rocA1	rocA1	?
rocA1	rocR	?
rocA1	rocS1	?
roxR	roxR	+
fur	rplA	+
fur	rplJ	+
fur	rplL	+
algQ	rpoD	+
rpoD	rpoD	?
algU	rpoH	+
pprB	rpoS	+
psrA	rpoS	+
rhlR	rpoS	-
rpoD	rpoS	?
vqsM	rpoS	+
lasI	rsaL	?
lasI	rsaL	?
lasR	rsaL	+
pprB	rsaL	?
qscR	rsaL	-
rsaL	rsaL	-
mvfR	rsmA	?
qscR	rubA1	?
PA2449	sdaA	+
phoP	sodB	+
fur	sodA	-
PSPA7_RS29400	soxA	?
PSPA7_RS29400	soxB	?
PSPA7_RS29400	soxG	?
soxR	soxR	+
algR	speA	?
cbrB	spuA	+
cbrB	spuB	+
cbrB	spuC	+
cbrB	spuD	+
cbrB	spuE	+
cbrB	spuF	+
cbrB	spuG	+
cbrB	spuH	+
cbrB	spuI	+
pprB	tadA	?
pprB	tadB	?
pprB	tadC	?
pprB	tadG	?
pprB	tadZ	?
algU	tal	+
fur	tolA	-
toxR	tolA	+
fur	tolB	-
toxR	tolB	+
fur	tolQ	-
toxR	tolQ	+
fur	tolR	-
toxR	tolR	+
NrdR	topA	-
fur	toxA	-
ptxR	toxA	+
pvdS	toxA	+
toxR	toxA	-
vfr	toxA	+
fur	toxR	-
pvdS	toxR	+
vfr	toxR	+
lasR	tpbA	+
phoP	tpbA	+
tpbA	tpbA	-
tpbA	tpbB	-
trpI	trpA	+
trpI	trpB	+
trpI	trpI	-
rpoN	ureA	?
rpoN	ureB	?
rpoN	ureC	?
PA4906	vanA	-
PA4906	vanB	-
lasI	vfr	?
vfr	vfr	+
rpoN	orfK	+
rpoN	orfM	+
rpoN	orfN	+
lasI	xcpP	?
lasI	xcpP	?
lasR	xcpP	+
rhlR	xcpP	?
lasI	xcpQ	?
lasR	xcpQ	+
rhlR	xcpQ	?
lasI	xcpR	?
rhlR	xcpR	?
lasI	xcpS	?
rhlR	xcpS	?
lasI	xcpT	?
rhlR	xcpT	?
lasI	xcpU	?
rhlR	xcpU	?
lasI	xcpV	?
rhlR	xcpV	?
lasI	xcpW	?
rhlR	xcpW	?
lasI	xcpX	?
rhlR	xcpX	?
lasI	xcpZ	?
rhlR	xcpZ	?
PA1504	xdhA	-
PA1504	xdhB	-
mexT	xenB	+
np20	znuB	-
np20	znuC	-
crc	zwf	?
PA3184	zwf	-
PA5438	zwf	-
