TF	Target	Regulatory Mode
cbrB	exoS	?
exsA	exoS	+
exsA	exoS	+
psrA	exoS	+
rhlR	exoS	-
exsA	exoT	?
vfr	exoT	?
exsA	exsA	+
exsD	exsA	-
mexT	exsA	-
psrA	exsA	+
rpoS	exsA	+
exsA	exsB	+
psrA	exsB	+
rpoS	exsB	+
exsA	exsC	+
psrA	exsC	+
rpoS	exsC	+
exsA	exsD	+
exsA	exsE	+
psrA	exsE	+
rpoS	exsE	+
desT	fabA	-
mexT	fabH2	-
lasI	fagA	?
PA2010	fahA	-
psrA	faoA	-
iscR	fdx2	-
PA3697	fhp	+
fhpR	fhp	+
PA0779	fhp	+
rpoN	fhp	+
fleQ	fleN	?
rpoN	fleN	+
algU	fleQ	-
algZ	fleQ	-
fleQ	fleQ	?
rpoD	fleQ	+
vfr	fleQ	-
fleQ	fleR	+
ihf	fleR	+
rpoN	fleR	+
fleQ	fleS	+
ihf	fleS	+
rpoN	fleS	+
rpoN	flgB	+
rpoN	flgC	+
rpoN	flgD	+
rpoN	flgE	+
rpoN	flgF	+
rpoN	flgG	+
rpoN	flgH	+
rpoN	flgI	+
rpoN	flgJ	+
rpoN	flgK	+
rpoN	flgL	+
fliA	flgM	+
fleQ	flhA	+
rpoN	flhA	+
fleQ	flhB	+
rpoN	flhB	+
fleQ	flhF	?
rpoN	flhF	+
flgM	fliA	-
fliA	fliA	?
algU	fliC	?
flgM	fliC	-
fliA	fliC	+
fleQ	fliD	+
ihf	fliD	+
rpoN	fliD	+
fleQ	fliE	+
rpoN	fliE	+
fleQ	fliF	+
rpoN	fliF	+
fleQ	fliG	+
rpoN	fliG	+
fleQ	fliI	+
rpoN	fliI	+
fleQ	fliJ	+
rpoN	fliJ	+
fleQ	fliM	+
rpoN	fliM	+
fleQ	fliN	+
rpoN	fliN	+
fleQ	fliO	+
rpoN	fliO	+
fleQ	fliP	+
rpoN	fliP	+
fleQ	fliQ	+
rpoN	fliQ	+
fleQ	fliR	+
rpoN	fliR	+
lasR	flp	+
pprB	flp	?
fur	foxI	-
fur	foxR	-
pprB	fppA	?
fur	fptA	+
pchR	fptA	+
fpvR	fpvI	-
fur	fpvI	-
fur	fpvR	+
fruR	fruA	-
fruR	fruI	-
fruR	fruK	-
fruR	fruR	-
fur	fumC1	-
ihf	fumC1	+
fleQ	fur	-
algU	fusA	?
phoP	gabD	+
phoP	gabT	+
lasI	gacA	?
rpoN	gacA	?
PA3184	gapA	-
PSPA7_RS29400	PSPA7_RS29550 (PSPA7_6197)	?
gbuR	gbuA	d
fur	gbuR	-
PA1520	gcl	-
PA2449	gcvH2	+
PA2449	gcvP2	+
PA2449	gcvT2	+
algR	gdhA	-
argR	gdhA	-
argR	gdhB	+
GlcC	glcC	-
GlcC	glcD	-
GlcC	glcE	-
GlcC	glcF	-
PA3184	glk	-
gbuR	glmS	?
PSPA7_RS30295	glmS	?
NtrC	glnA	+
rpoN	glnA	?
NtrC	glnK	+
glpR	glpD	-
glpR	glpF	-
gbuR	glpR	+
glpR	glpT	-
argR	gltB	-
argR	gltD	-
PA3184	gltR	-
PA3184	gltS	-
PA2449	glyA2	+
gntR	gntR	-
gbuR	gpuA	d
gpuR	gpuA	+
gbuR	gpuP	+
gpuR	gpuP	+
gpuR	gpuR	+
argR	greA	-
pvdS	grx	+
fur	hasAp_N	-
fur	hasAp_P	+
fur	hasR	+
